
test score: 957.44, max tile: 256.0

test score: 969.5999999999999, max tile: 256.0

test score: 1048.56, max tile: 256.0

test score: 837.76, max tile: 256.0

test score: 869.28, max tile: 256.0

test score: 920.56, max tile: 256.0

test score: 910.96, max tile: 256.0

test score: 973.6800000000001, max tile: 256.0

test score: 826.48, max tile: 256.0

test score: 951.2, max tile: 256.0

test score: 995.5999999999999, max tile: 256.0

test score: 993.5999999999999, max tile: 256.0

test score: 1097.36, max tile: 256.0

test score: 1076.32, max tile: 256.0

test score: 1034.72, max tile: 256.0

test score: 920.8, max tile: 256.0

test score: 1050.08, max tile: 256.0

test score: 960.72, max tile: 256.0

test score: 826.6400000000001, max tile: 256.0

test score: 955.2, max tile: 128.0

test score: 1490.4, max tile: 256.0

test score: 833.5999999999999, max tile: 128.0

test score: 772.8, max tile: 128.0

test score: 654.4, max tile: 128.0

test score: 992.8, max tile: 256.0

test score: 935.2, max tile: 256.0

test score: 743.2, max tile: 128.0

test score: 719.2, max tile: 128.0

test score: 1440.8, max tile: 256.0

test score: 980.8, max tile: 128.0

test score: 852.8, max tile: 128.0

test score: 991.2, max tile: 256.0

test score: 913.5999999999999, max tile: 128.0

test score: 744.8, max tile: 128.0

test score: 780.8, max tile: 128.0

test score: 1148.0, max tile: 256.0

test score: 1062.4, max tile: 256.0

test score: 1124.8, max tile: 256.0

test score: 964.0, max tile: 128.0

test score: 1002.4000000000001, max tile: 128.0

test score: 969.5999999999999, max tile: 256.0

test score: 1336.0, max tile: 256.0

test score: 1060.0, max tile: 256.0

test score: 1046.4, max tile: 128.0

test score: 1376.8, max tile: 256.0

test score: 359.20000000000005, max tile: 64.0

test score: 1231.2, max tile: 256.0

test score: 409.6, max tile: 64.0

test score: 971.2, max tile: 128.0

test score: 856.8, max tile: 128.0

test score: 1208.0, max tile: 256.0

test score: 920.8, max tile: 128.0

test score: 1409.6, max tile: 256.0

test score: 643.2, max tile: 128.0

test score: 1027.2, max tile: 128.0

test score: 876.8, max tile: 256.0

test score: 1067.2, max tile: 256.0

test score: 541.6, max tile: 128.0

test score: 1189.6, max tile: 256.0

test score: 846.4000000000001, max tile: 128.0

test score: 909.5999999999999, max tile: 256.0

test score: 1390.4, max tile: 256.0

test score: 960.8, max tile: 128.0

test score: 1106.4, max tile: 256.0

test score: 856.0, max tile: 128.0

test score: 928.8, max tile: 128.0

test score: 1184.8, max tile: 256.0

test score: 800.8, max tile: 128.0

test score: 999.2, max tile: 256.0

test score: 934.4000000000001, max tile: 128.0

test score: 1421.6, max tile: 256.0

test score: 510.4, max tile: 128.0

test score: 1016.0, max tile: 256.0

test score: 923.2, max tile: 128.0

test score: 1131.2, max tile: 256.0

test score: 762.4, max tile: 128.0

test score: 1001.5999999999999, max tile: 256.0

test score: 784.8, max tile: 128.0

test score: 1569.6, max tile: 256.0

test score: 811.2, max tile: 128.0

